ID,name,lat,lon
c1,Charlotte,35.2083,-80.8303
c2,Milwaukee,43.0642,-87.9675
c3,Providence,41.823,-71.4187
c4,Jacksonville,30.3322,-81.6749
c5,Nashville,36.1715,-86.7842
c6,Salt Lake City,40.7776,-111.9311
c7,Raleigh,35.8324,-78.6429
c8,Richmond,37.5295,-77.4756
c9,Memphis,35.1087,-89.9663
c10,Oklahoma City,35.4676,-97.5136
c11,Hartford,41.7661,-72.6834
c12,Louisville,38.1663,-85.6485
c13,Buffalo,42.9018,-78.8487
c14,New Orleans,30.0687,-89.9288
c15,Fort Worth,32.7817,-97.3474
c16,Bridgeport,41.1918,-73.1954
c17,Tucson,32.1541,-110.8787
c18,El Paso,31.8476,-106.43
c19,Omaha,41.2627,-96.0529
c20,McAllen,26.2252,-98.2467
c21,Hempstead,40.6629,-73.6089
c22,Birmingham,33.5279,-86.7971
c23,Albuquerque,35.1054,-106.6465
c24,Tulsa,36.1283,-95.9042
c25,Fresno,36.783,-119.7939
c26,Charleston,32.8168,-79.9687
c27,Rochester,43.168,-77.6162
c28,Dayton,39.7805,-84.2003
c29,Cape Coral,26.6443,-81.9957
c30,Mission Viejo,33.6096,-117.6551
c31,Colorado Springs,38.8674,-104.7605
c32,Baton Rouge,30.442,-91.1311
c33,Allentown,40.5961,-75.4756
c34,Ogden,41.2279,-111.9682
c35,Provo,40.2457,-111.6457
