origin,destination,lead_time,cost,transportation_mode
mfg_haiphong,dc_albany,45,5,ocean
mfg_ho_chi_minh_city,dc_albany,45,5,ocean
mfg_laem_chabang,dc_albany,45,5,ocean
mfg_ningbo,dc_albany,45,5,ocean
mfg_shanghai,dc_albany,45,5,ocean
mfg_shenzhen,dc_albany,45,5,ocean
mfg_haiphong,dc_chicago,45,5,ocean
mfg_ho_chi_minh_city,dc_chicago,45,5,ocean
mfg_laem_chabang,dc_chicago,45,5,ocean
mfg_ningbo,dc_chicago,45,5,ocean
mfg_shanghai,dc_chicago,45,5,ocean
mfg_shenzhen,dc_chicago,45,5,ocean
mfg_haiphong,dc_dallas,35,5,ocean
mfg_ho_chi_minh_city,dc_dallas,35,5,ocean
mfg_laem_chabang,dc_dallas,35,5,ocean
mfg_ningbo,dc_dallas,35,5,ocean
mfg_shanghai,dc_dallas,35,5,ocean
mfg_shenzhen,dc_dallas,35,5,ocean
mfg_haiphong,dc_houston,35,5,ocean
mfg_ho_chi_minh_city,dc_houston,35,5,ocean
mfg_laem_chabang,dc_houston,35,5,ocean
mfg_ningbo,dc_houston,35,5,ocean
mfg_shanghai,dc_houston,35,5,ocean
mfg_shenzhen,dc_houston,35,5,ocean
mfg_haiphong,dc_memphis,35,5,ocean
mfg_ho_chi_minh_city,dc_memphis,35,5,ocean
mfg_laem_chabang,dc_memphis,35,5,ocean
mfg_ningbo,dc_memphis,35,5,ocean
mfg_shanghai,dc_memphis,35,5,ocean
mfg_shenzhen,dc_memphis,35,5,ocean
mfg_haiphong,dc_richmond,45,5,ocean
mfg_ho_chi_minh_city,dc_richmond,45,5,ocean
mfg_laem_chabang,dc_richmond,45,5,ocean
mfg_ningbo,dc_richmond,45,5,ocean
mfg_shanghai,dc_richmond,45,5,ocean
mfg_shenzhen,dc_richmond,45,5,ocean
mfg_haiphong,dc_san_bernandino,30,5,ocean
mfg_ho_chi_minh_city,dc_san_bernandino,30,5,ocean
mfg_laem_chabang,dc_san_bernandino,30,5,ocean
mfg_ningbo,dc_san_bernandino,30,5,ocean
mfg_shanghai,dc_san_bernandino,30,5,ocean
mfg_shenzhen,dc_san_bernandino,30,5,ocean
mfg_haiphong,dc_savannah,40,5,ocean
mfg_ho_chi_minh_city,dc_savannah,40,5,ocean
mfg_laem_chabang,dc_savannah,40,5,ocean
mfg_ningbo,dc_savannah,40,5,ocean
mfg_shanghai,dc_savannah,40,5,ocean
mfg_shenzhen,dc_savannah,40,5,ocean
mfg_haiphong,dc_seattle,25,5,ocean
mfg_ho_chi_minh_city,dc_seattle,25,5,ocean
mfg_laem_chabang,dc_seattle,25,5,ocean
mfg_ningbo,dc_seattle,25,5,ocean
mfg_shanghai,dc_seattle,25,5,ocean
mfg_shenzhen,dc_seattle,25,5,ocean
mfg_haiphong,dc_albany,3,50,air
mfg_ho_chi_minh_city,dc_albany,3,50,air
mfg_laem_chabang,dc_albany,3,50,air
mfg_ningbo,dc_albany,3,50,air
mfg_shanghai,dc_albany,3,50,air
mfg_shenzhen,dc_albany,3,50,air
mfg_haiphong,dc_chicago,3,50,air
mfg_ho_chi_minh_city,dc_chicago,3,50,air
mfg_laem_chabang,dc_chicago,3,50,air
mfg_ningbo,dc_chicago,3,50,air
mfg_shanghai,dc_chicago,3,50,air
mfg_shenzhen,dc_chicago,3,50,air
mfg_haiphong,dc_dallas,3,50,air
mfg_ho_chi_minh_city,dc_dallas,3,50,air
mfg_laem_chabang,dc_dallas,3,50,air
mfg_ningbo,dc_dallas,3,50,air
mfg_shanghai,dc_dallas,3,50,air
mfg_shenzhen,dc_dallas,3,50,air
mfg_haiphong,dc_houston,3,50,air
mfg_ho_chi_minh_city,dc_houston,3,50,air
mfg_laem_chabang,dc_houston,3,50,air
mfg_ningbo,dc_houston,3,50,air
mfg_shanghai,dc_houston,3,50,air
mfg_shenzhen,dc_houston,3,50,air
mfg_haiphong,dc_memphis,3,50,air
mfg_ho_chi_minh_city,dc_memphis,3,50,air
mfg_laem_chabang,dc_memphis,3,50,air
mfg_ningbo,dc_memphis,3,50,air
mfg_shanghai,dc_memphis,3,50,air
mfg_shenzhen,dc_memphis,3,50,air
mfg_haiphong,dc_richmond,3,50,air
mfg_ho_chi_minh_city,dc_richmond,3,50,air
mfg_laem_chabang,dc_richmond,3,50,air
mfg_ningbo,dc_richmond,3,50,air
mfg_shanghai,dc_richmond,3,50,air
mfg_shenzhen,dc_richmond,3,50,air
mfg_haiphong,dc_san_bernandino,3,50,air
mfg_ho_chi_minh_city,dc_san_bernandino,3,50,air
mfg_laem_chabang,dc_san_bernandino,3,50,air
mfg_ningbo,dc_san_bernandino,3,50,air
mfg_shanghai,dc_san_bernandino,3,50,air
mfg_shenzhen,dc_san_bernandino,3,50,air
mfg_haiphong,dc_savannah,3,50,air
mfg_ho_chi_minh_city,dc_savannah,3,50,air
mfg_laem_chabang,dc_savannah,3,50,air
mfg_ningbo,dc_savannah,3,50,air
mfg_shanghai,dc_savannah,3,50,air
mfg_shenzhen,dc_savannah,3,50,air
mfg_haiphong,dc_seattle,3,50,air
mfg_ho_chi_minh_city,dc_seattle,3,50,air
mfg_laem_chabang,dc_seattle,3,50,air
mfg_ningbo,dc_seattle,3,50,air
mfg_shanghai,dc_seattle,3,50,air
mfg_shenzhen,dc_seattle,3,50,air
