ID,name,lat,lon,demand
d1,New York,40.6943,-73.9249,3782
d2,Los Angeles,34.1141,-118.4068,2384
d3,Chicago,41.8375,-87.6866,1700
d4,Miami,25.784,-80.2101,1216
d5,Houston,29.786,-95.3885,1194
d6,Philadelphia,40.0077,-75.1339,1136
d7,Washington,38.9047,-77.0163,1024
d8,Boston,42.3188,-71.0852,866
d9,Phoenix,33.5722,-112.0892,812
d10,Detroit,42.3834,-83.1024,746
d11,Seattle,47.6211,-122.3244,712
d12,San Francisco,37.7558,-122.4449,672
d13,San Diego,32.8313,-117.1222,610
d14,Tampa,27.9945,-82.4447,572
d15,Brooklyn,40.6501,-73.9496,548
d16,Queens,40.7498,-73.7976,482
d17,Riverside,33.9381,-117.3949,466
d18,Las Vegas,36.2333,-115.2654,450
d19,Baltimore,39.3051,-76.6144,440
d20,Portland,45.5371,-122.65,420
d21,San Antonio,29.4632,-98.5238,412
d22,Sacramento,38.5677,-121.4685,392
d23,Austin,30.3005,-97.7522,382
d24,Orlando,28.4773,-81.337,376
d25,San Jose,37.3012,-121.848,354
d26,Pittsburgh,40.4397,-79.9763,350
d27,Manhattan,40.7834,-73.9662,338
d28,Cincinnati,39.1413,-84.506,338
d29,Kansas City,39.1238,-94.5541,338
d30,Cleveland,41.4764,-81.6805,336
d31,Columbus,39.9862,-82.9855,314
d32,Bronx,40.8501,-73.8662,294
d33,Virginia Beach,36.7335,-76.0435,288
d34,Charlotte,35.2083,-80.8303,286
d35,Milwaukee,43.0642,-87.9675,258
d36,Providence,41.823,-71.4187,258
d37,Jacksonville,30.3322,-81.6749,258
d38,Nashville,36.1715,-86.7842,236
d39,Salt Lake City,40.7776,-111.9311,234
d40,Raleigh,35.8324,-78.6429,232
d41,Richmond,37.5295,-77.4756,214
d42,Memphis,35.1087,-89.9663,208
d43,Oklahoma City,35.4676,-97.5136,200
d44,Hartford,41.7661,-72.6834,194
d45,Louisville,38.1663,-85.6485,192
d46,Buffalo,42.9018,-78.8487,188
d47,New Orleans,30.0687,-89.9288,186
d48,Fort Worth,32.7817,-97.3474,184
d49,Bridgeport,41.1918,-73.1954,182
d50,Tucson,32.1541,-110.8787,176
d51,El Paso,31.8476,-106.43,174
d52,Omaha,41.2627,-96.0529,164
d53,McAllen,26.2252,-98.2467,160
d54,Hempstead,40.6629,-73.6089,158
d55,Birmingham,33.5279,-86.7971,156
d56,Albuquerque,35.1054,-106.6465,154
d57,Tulsa,36.1283,-95.9042,146
d58,Fresno,36.783,-119.7939,146
d59,Charleston,32.8168,-79.9687,142
d60,Rochester,43.168,-77.6162,140
d61,Dayton,39.7805,-84.2003,134
d62,Cape Coral,26.6443,-81.9957,130
d63,Mission Viejo,33.6096,-117.6551,128
d64,Colorado Springs,38.8674,-104.7605,128
d65,Baton Rouge,30.442,-91.1311,128
d66,Allentown,40.5961,-75.4756,126
d67,Ogden,41.2279,-111.9682,124
d68,Provo,40.2457,-111.6457,124
d69,Knoxville,35.9692,-83.9496,124
d70,Grand Rapids,42.9619,-85.6562,122
d71,Columbia,34.0378,-80.9036,120
d72,Albany,42.6664,-73.7987,118
d73,Bakersfield,35.3529,-119.0359,114
d74,New Haven,41.3113,-72.9246,114
d75,Des Moines,41.5725,-93.6105,110
d76,Akron,41.0798,-81.5219,108
d77,Palm Bay,27.9631,-80.6593,106
d78,Concord,37.9722,-122.0016,106
d79,Wichita,37.6895,-97.3443,102
d80,Mesa,33.4015,-111.7178,100
