ID,city,lat,lon,demand
c1,Dallas,32.7762719,-96.7968559,300
c2,Columbus ,39.9622601,-83.0007065,300
c3,Atlanta,33.7489924,-84.3902644,300
c4,Portland ,45.5202471,-122.674194,300
c5,Savannah,32.0564572,-81.0951271,300
c6,Indianapolis,39.7683331,-86.1583502,300
c7,Minneapolis,44.9772995,-93.2654692,300
c8,Harrisburg ,40.2663107,-76.8861122,300
c9,Chicago,41.8755616,-87.6244212,300
c10,Nashville,36.1622767,-86.7742984,300
c11,Albuquerque,35.0841034,-106.650985,300
c12,Mobile,30.6867339,-88.0848929,300
c13,Little Rock,34.7465071,-92.2896267,300
c14,Seattle,47.6038321,-122.330062,300
c15,Phoenix,33.4484367,-112.074141,300
c16,Jacksonville,30.3321838,-81.655651,300
c17,Orlando,28.5421109,-81.3790304,300
c18,New Orleans,29.9759983,-90.0782127,300
c19,Portland ,45.5202471,-122.674194,300
c20,Pittsburgh,40.4416941,-79.9900861,300
c21,Charleston,32.7884363,-79.9399309,300
c22,Richmond,37.5385087,-77.43428,300
c23,Denver ,39.7392364,-104.984862,300
c24,Kansas City,39.100105,-94.5781416,300
c25,Charlotte,35.2272086,-80.8430827,300
c26,Greensboro,36.0726355,-79.7919754,300
c27,Lousville,40.832356149999995,-81.27122505,300
c28,Memphis,35.1460249,-90.0517638,300
c29,Frederick,39.2127031,-78.279166,300
c30,Riverside,33.9533546,-117.3961623,300
c31,Lansing,42.7337712,-84.5553805,300
c32,Springfield,39.7990175,-89.6439575,300
c33,Hattiesburg,31.3271189,-89.2903392,300
c34,Las Vegas,36.1672559,-115.148516,300
