ID,name,lat,lon,demand
d1,Portland ,45.5202471,-122.674194,660
d2,Savannah,32.0564572,-81.0951271,780
d4,Minneapolis,44.9772995,-93.2654692,420
d5,Harrisburg ,40.2663107,-76.8861122,840
d7,Albuquerque,35.0841034,-106.650985,480
d8,Mobile,30.6867339,-88.0848929,600
d9,Little Rock,34.7465071,-92.2896267,800
d10,Phoenix,33.4484367,-112.074141,830
d11,Jacksonville,30.3321838,-81.655651,360
d12,Orlando,28.5421109,-81.3790304,720
d13,New Orleans,29.9759983,-90.0782127,420
d14,Portland ,45.5202471,-122.674194,360
d15,Charleston,32.7884363,-79.9399309,360
d16,Lousville,40.83235615,-81.27122505,360
d18,Lansing,42.7337712,-84.5553805,360
d19,Springfield,39.7990175,-89.6439575,720
d20,Hattiesburg,31.3271189,-89.2903392,600
d21,Las Vegas,36.1672559,-115.148516,360
d22,Cleveland,41.4764,-81.6805,600
d24,Salt Lake City,40.77449873,-111.9489832,540
d25,Tucson,32.1541,-110.879,480
d26,Cheyenne,41.135,-104.7902,650
d27,Casper,42.842,-106.3208,650
d28,Boulder,40.0248,-105.2524,650
d29,Twin Falls,42.5645,-114.4613,800
d30,Fort Collins,40.5477,-105.0656,600
