demand_zoneID,pricing_level,selling_price,demand
d_4001,low,100,65.432
d_4001,medium,110,52.3456
d_4001,high,120,39.2592
d_4003,low,100,125.663
d_4003,medium,110,100.5304
d_4003,high,120,75.3978
d_4005,low,100,144.06
d_4005,medium,110,115.248
d_4005,high,120,86.436
d_4007,low,100,53.922
d_4007,medium,110,43.1376
d_4007,high,120,32.3532
d_4009,low,100,38.779
d_4009,medium,110,31.0232
d_4009,high,120,23.2674
d_4011,low,100,9.302
d_4011,medium,110,7.4416
d_4011,high,120,5.5812
d_4012,low,100,16.506
d_4012,medium,110,13.2048
d_4012,high,120,9.9036
d_4013,low,100,1500
d_4013,medium,110,1200
d_4013,high,120,900
d_4015,low,100,220.816
d_4015,medium,110,176.6528
d_4015,high,120,132.4896
d_4017,low,100,108.65
d_4017,medium,110,86.92
d_4017,high,120,65.19
d_4019,low,100,1057.597
d_4019,medium,110,846.0776
d_4019,high,120,634.5582
d_4021,low,100,464.154
d_4021,medium,110,371.3232
d_4021,high,120,278.4924
d_4023,low,100,48.759
d_4023,medium,110,39.0072
d_4023,high,120,29.2554
d_4025,low,100,246.191
d_4025,medium,110,196.9528
d_4025,high,120,147.7146
d_4027,low,100,207.842
d_4027,medium,110,166.2736
d_4027,high,120,124.7052
d_6001,low,100,1500
d_6001,medium,110,1200
d_6001,high,120,900
d_6003,low,100,1.19
d_6003,medium,110,0.952
d_6003,high,120,0.714
d_6005,low,100,41.412
d_6005,medium,110,33.1296
d_6005,high,120,24.8472
d_6007,low,100,207.303
d_6007,medium,110,165.8424
d_6007,high,120,124.3818
d_6009,low,100,46.563
d_6009,medium,110,37.2504
d_6009,high,120,27.9378
d_6011,low,100,21.914
d_6011,medium,110,17.5312
d_6011,high,120,13.1484
d_6013,low,100,1156.966
d_6013,medium,110,925.5728
d_6013,high,120,694.1796
d_6015,low,100,27.082
d_6015,medium,110,21.6656
d_6015,high,120,16.2492
d_6017,low,100,192.646
d_6017,medium,110,154.1168
d_6017,high,120,115.5876
d_6019,low,100,1015.19
d_6019,medium,110,812.152
d_6019,high,120,609.114
d_6021,low,100,28.339
d_6021,medium,110,22.6712
d_6021,high,120,17.0034
d_6023,low,100,135.01
d_6023,medium,110,108.008
d_6023,high,120,81.006
d_6025,low,100,178.713
d_6025,medium,110,142.9704
d_6025,high,120,107.2278
d_6027,low,100,18.718
d_6027,medium,110,14.9744
d_6027,high,120,11.2308
d_6029,low,100,916.108
d_6029,medium,110,732.8864
d_6029,high,120,549.6648
d_6031,low,100,152.981
d_6031,medium,110,122.3848
d_6031,high,120,91.7886
d_6033,low,100,68.191
d_6033,medium,110,54.5528
d_6033,high,120,40.9146
d_6035,low,100,29.904
d_6035,medium,110,23.9232
d_6035,high,120,17.9424
d_6037,low,100,1500
