ID,name,lat,lon
c1,The Hague,52.08,4.31
c2,Aveiro,40.6333,-8.65
c3,Geneva,46.2017,6.1469
c4,Bydgoszcz,53.1219,18.0003
c5,Milan,45.4669,9.19
c6,Portalegre,39.3167,-7.4167
c7,Appenzell,47.3333,9.4167
c8,Lublin,51.25,22.5667
c9,Wroclaw,51.11,17.0325
c10,Rome,41.8931,12.4828
c11,Dresden,51.05,13.74
c12,Zlin,49.2331,17.6669
c13,Gorzow Wielkopolski,52.7333,15.25
c14,Vienna,48.2083,16.3725
c15,Arnhem,51.9833,5.9167
c16,Trieste,45.6503,13.7703
c17,Ceske Budejovice,48.9747,14.4747
c18,Stans,46.95,8.35
c19,Groningen,53.2167,6.5667
c20,Solothurn,47.2167,7.5333
c21,Sarnen,46.8961,8.2456
c22,Braganca,41.8067,-6.7589
c23,Bordeaux,44.84,-0.58
c24,Perugia,43.1122,12.3889
c25,Liberec,50.7667,15.0667
c26,Olsztyn,53.7778,20.4792
c27,Prague,50.0875,14.4214
c28,Schwerin,53.6333,11.4167
