ID,city,lat,lon,capacity,fixed_cost
w1,Jacksonville,30.3322,-81.6749,20000,10000
w2,New Haven,41.3113,-72.9246,20000,10000
w3,Philadelphia,40.0077,-75.1339,20000,10000
w4,Boston,42.3188,-71.0852,20000,10000
w5,Tulsa,36.1283,-95.9042,20000,10000
w6,Charlotte,35.2083,-80.8303,20000,10000
w7,Birmingham,33.5279,-86.7971,20000,10000
w8,Manhattan,40.7834,-73.9662,20000,10000
w9,Los Angeles,34.1141,-118.4068,20000,10000
w10,Bridgeport,41.1918,-73.1954,20000,10000
w11,Denver,39.762,-104.8758,20000,10000
w12,Tucson,32.1541,-110.8787,20000,10000
w13,Salt Lake City,40.7776,-111.9311,20000,10000
w14,Detroit,42.3834,-83.1024,20000,10000
w15,Raleigh,35.8324,-78.6429,20000,10000
