ID,city,state,lat,lon,population,demand,sigma
c1,New York,New York,40.6943,-73.9249,18908608,189100,30256
c2,Los Angeles,California,34.1141,-118.4068,11922389,119200,23840
c3,Chicago,Illinois,41.8375,-87.6866,8497759,85000,15300
c4,Miami,Florida,25.784,-80.2101,6080145,60800,18240
c5,Houston,Texas,29.786,-95.3885,5970127,59700,16716
c6,Philadelphia,Pennsylvania,40.0077,-75.1339,5683533,56800,11928
c7,Washington,District of Columbia,38.9047,-77.0163,5116378,51200,13312
c8,Boston,Massachusetts,42.3188,-71.0852,4328315,43300,10825
c9,Phoenix,Arizona,33.5722,-112.0892,4064275,40600,6090
c10,Detroit,Michigan,42.3834,-83.1024,3725908,37300,8579
c11,Seattle,Washington,47.6211,-122.3244,3561397,35600,8188
c12,San Francisco,California,37.7558,-122.4449,3364979,33600,6720
c13,San Diego,California,32.8313,-117.1222,3046560,30500,7015
c14,Tampa,Florida,27.9945,-82.4447,2861173,28600,8294
c15,Brooklyn,New York,40.6501,-73.9496,2736074,27400,7398
c16,Denver,Colorado,39.762,-104.8758,2687458,26900,5380
c17,Queens,New York,40.7498,-73.7976,2405464,24100,4820
c18,Riverside,California,33.9381,-117.3949,2332836,23300,3495
c19,Las Vegas,Nevada,36.2333,-115.2654,2248047,22500,4050
c20,Baltimore,Maryland,39.3051,-76.6144,2196524,22000,4400
c21,St. Louis,Missouri,38.6359,-90.2451,2130881,21300,5112
c22,Portland,Oregon,45.5371,-122.65,2095808,21000,5040
c23,San Antonio,Texas,29.4632,-98.5238,2058444,20600,5562
c24,Sacramento,California,38.5677,-121.4685,1957738,19600,5488
c25,Austin,Texas,30.3005,-97.7522,1905945,19100,3629
c26,Orlando,Florida,28.4773,-81.337,1882705,18800,4324
c27,San Jose,California,37.3012,-121.848,1771413,17700,3894
c28,Pittsburgh,Pennsylvania,40.4397,-79.9763,1749091,17500,3150
c29,Manhattan,New York,40.7834,-73.9662,1694263,16900,3549
c30,Cincinnati,Ohio,39.1413,-84.506,1692702,16900,2704
c31,Kansas City,Missouri,39.1238,-94.5541,1689556,16900,2535
c32,Cleveland,Ohio,41.4764,-81.6805,1680247,16800,5040
c33,Columbus,Ohio,39.9862,-82.9855,1572546,15700,3768
c34,Bronx,New York,40.8501,-73.8662,1472654,14700,3381
c35,Virginia Beach,Virginia,36.7335,-76.0435,1443020,14400,3600
c36,Charlotte,North Carolina,35.2083,-80.8303,1427444,14300,2145
c37,Milwaukee,Wisconsin,43.0642,-87.9675,1290940,12900,2064
c38,Providence,Rhode Island,41.823,-71.4187,1290271,12900,3354
c39,Jacksonville,Florida,30.3322,-81.6749,1288298,12900,3096
c40,Nashville,Tennessee,36.1715,-86.7842,1177657,11800,3304
c41,Salt Lake City,Utah,40.7776,-111.9311,1173879,11700,3510
c42,Raleigh,North Carolina,35.8324,-78.6429,1163152,11600,3364
c43,Richmond,Virginia,37.5295,-77.4756,1073223,10700,1605
c44,Memphis,Tennessee,35.1087,-89.9663,1037998,10400,2808
c45,Oklahoma City,Oklahoma,35.4676,-97.5136,998806,10000,2800
c46,Hartford,Connecticut,41.7661,-72.6834,974684,9700,1649
c47,Louisville,Kentucky,38.1663,-85.6485,963812,9600,2688
c48,Buffalo,New York,42.9018,-78.8487,944589,9400,1504
c49,New Orleans,Louisiana,30.0687,-89.9288,932759,9300,2418
c50,Fort Worth,Texas,32.7817,-97.3474,924663,9200,2484
c51,Bridgeport,Connecticut,41.1918,-73.1954,908251,9100,2184
c52,Tucson,Arizona,32.1541,-110.8787,878320,8800,2552
c53,El Paso,Texas,31.8476,-106.43,865270,8700,2349
c54,Omaha,Nebraska,41.2627,-96.0529,821345,8200,2050
c55,McAllen,Texas,26.2252,-98.2467,797341,8000,2000
c56,Hempstead,New York,40.6629,-73.6089,789763,7900,1422
c57,Birmingham,Alabama,33.5279,-86.7971,782111,7800,1872
c58,Albuquerque,New Mexico,35.1054,-106.6465,769986,7700,1309
c59,Tulsa,Oklahoma,36.1283,-95.9042,731743,7300,1314
c60,Fresno,California,36.783,-119.7939,725276,7300,1241
c61,Charleston,South Carolina,32.8168,-79.9687,706884,7100,1136
c62,Rochester,New York,43.168,-77.6162,699921,7000,1190
c63,Dayton,Ohio,39.7805,-84.2003,668825,6700,1005
c64,Cape Coral,Florida,26.6443,-81.9957,654405,6500,1235
c65,Mission Viejo,California,33.6096,-117.6551,642211,6400,1088
c66,Colorado Springs,Colorado,38.8674,-104.7605,638194,6400,1664
c67,Baton Rouge,Louisiana,30.442,-91.1311,635671,6400,1792
c68,Allentown,Pennsylvania,40.5961,-75.4756,627863,6300,1386
c69,Ogden,Utah,41.2279,-111.9682,622918,6200,1736
c70,Provo,Utah,40.2457,-111.6457,619218,6200,1798
c71,Knoxville,Tennessee,35.9692,-83.9496,615829,6200,1798
c72,Grand Rapids,Michigan,42.9619,-85.6562,609023,6100,1037
c73,Columbia,South Carolina,34.0378,-80.9036,604065,6000,1560
c74,Albany,New York,42.6664,-73.7987,590694,5900,1770
c75,Bakersfield,California,35.3529,-119.0359,571992,5700,1425
c76,New Haven,Connecticut,41.3113,-72.9246,565572,5700,1083
c77,Des Moines,Iowa,41.5725,-93.6105,548926,5500,1595
c78,Akron,Ohio,41.0798,-81.5219,541945,5400,1296
c79,Palm Bay,Florida,27.9631,-80.6593,534348,5300,1007
c80,Concord,California,37.9722,-122.0016,531175,5300,1590
c81,Wichita,Kansas,37.6895,-97.3443,509003,5100,1479
c82,Mesa,Arizona,33.4015,-111.7178,503390,5000,750
