customerID,product,demand,sigma
c1,product_a,75640,1512.8
c2,product_a,47680,953.6
c3,product_a,34000,340
c4,product_a,30400,912
c5,product_a,35820,1074.6
c6,product_a,39760,1192.8
c7,product_a,30720,614.4
c8,product_a,17320,173.2
c9,product_a,16240,487.2
c10,product_a,14920,447.6
c11,product_a,21360,640.8
c12,product_a,16800,504
c13,product_a,18300,183
c14,product_a,14300,143
c15,product_a,10960,109.6
c16,product_a,10760,107.6
c17,product_a,14460,144.6
c18,product_a,13980,419.4
c19,product_a,15750,157.5
c20,product_a,8800,176
c21,product_a,10650,213
c22,product_a,8400,168
c23,product_a,8240,247.2
c24,product_a,13720,274.4
c25,product_a,7640,76.4
c26,product_a,7520,75.2
c27,product_a,12390,247.8
c28,product_a,10500,210
c29,product_a,10140,202.8
c30,product_a,6760,135.2
c31,product_a,11830,354.9
c32,product_a,10080,302.4
c33,product_a,7850,78.5
c34,product_a,10290,308.7
c35,product_a,10080,201.6
c36,product_a,10010,100.1
c37,product_a,7740,154.8
c38,product_a,7740,154.8
c39,product_a,6450,129
c40,product_a,5900,59
c41,product_a,5850,117
c42,product_a,5800,116
c43,product_a,4280,42.8
c44,product_a,5200,104
c45,product_a,4000,120
c46,product_a,4850,97
c47,product_a,3840,76.8
c48,product_a,5640,169.2
c49,product_a,6510,195.3
c50,product_a,6440,128.8
c51,product_a,3640,109.2
c52,product_a,4400,44
c53,product_a,3480,34.8
c54,product_a,3280,32.8
c55,product_a,4800,96
c56,product_a,5530,55.3
c57,product_a,3900,117
c58,product_a,3850,38.5
c59,product_a,5110,102.2
c60,product_a,5110,153.3
c61,product_a,2840,56.8
c62,product_a,2800,28
c63,product_a,3350,33.5
c64,product_a,3250,97.5
c65,product_a,3200,64
c66,product_a,3200,32
c67,product_a,4480,44.8
c68,product_a,2520,50.4
c69,product_a,4340,86.8
c70,product_a,4340,43.4
c71,product_a,4340,130.2
c72,product_a,2440,48.8
c73,product_a,3000,90
c74,product_a,4130,82.6
c75,product_a,2850,57
c76,product_a,3990,79.8
c77,product_a,2200,66
c78,product_a,3780,75.6
c79,product_a,3180,95.4
c80,product_a,2120,21.2
c81,product_a,2040,40.8
c82,product_a,2000,60
c1,product_b,75640,7564
c2,product_b,35760,3576
c3,product_b,34000,10200
c4,product_b,30400,3040
c5,product_b,17910,5373
c6,product_b,22720,6816
c7,product_b,25600,7680
c8,product_b,12990,1299
c9,product_b,20300,4060
c10,product_b,11190,3357
c11,product_b,14240,4272
c12,product_b,10080,2016
c13,product_b,12200,2440
c14,product_b,11440,1144
c15,product_b,8220,822
c16,product_b,8070,2421
c17,product_b,9640,964
c18,product_b,11650,1165
c19,product_b,9000,900
c20,product_b,6600,660
c21,product_b,6390,1917
c22,product_b,10500,3150
c23,product_b,8240,824
c24,product_b,5880,1176
c25,product_b,7640,1528
c26,product_b,7520,1504
c27,product_b,5310,531
c28,product_b,8750,1750
c29,product_b,5070,1014
c30,product_b,8450,845
c31,product_b,6760,1352
c32,product_b,5040,1512
c33,product_b,4710,942
c34,product_b,7350,735
c35,product_b,4320,432
c36,product_b,5720,1144
c37,product_b,3870,387
c38,product_b,6450,1290
c39,product_b,5160,1548
c40,product_b,3540,1062
c41,product_b,4680,1404
c42,product_b,4640,464
c43,product_b,4280,856
c44,product_b,4160,1248
c45,product_b,4000,1200
c46,product_b,2910,291
c47,product_b,2880,864
c48,product_b,3760,752
c49,product_b,2790,279
c50,product_b,4600,460
c51,product_b,2730,546
c52,product_b,3520,704
c53,product_b,4350,435
c54,product_b,4100,820
c55,product_b,4000,400
c56,product_b,2370,711
c57,product_b,3900,1170
c58,product_b,3850,770
c59,product_b,3650,730
c60,product_b,2920,876
c61,product_b,2130,639
c62,product_b,2800,280
c63,product_b,2010,603
c64,product_b,2600,520
c65,product_b,1920,576
c66,product_b,3200,960
c67,product_b,2560,256
c68,product_b,1890,567
c69,product_b,2480,496
c70,product_b,1860,372
c71,product_b,3100,310
c72,product_b,3050,915
c73,product_b,2400,240
c74,product_b,2360,472
c75,product_b,1710,171
c76,product_b,2850,855
c77,product_b,2750,550
c78,product_b,2700,540
c79,product_b,1590,477
c80,product_b,2120,212
c81,product_b,2040,408
c82,product_b,2500,500
c1,product_c,18910,5673
c2,product_c,23840,7152
c3,product_c,17000,8500
c4,product_c,6080,3040
c5,product_c,17910,5373
c6,product_c,5680,2272
c7,product_c,15360,4608
c8,product_c,12990,3897
c9,product_c,4060,1624
c10,product_c,3730,1865
c11,product_c,7120,2848
c12,product_c,6720,2016
c13,product_c,9150,2745
c14,product_c,5720,2860
c15,product_c,2740,1096
c16,product_c,5380,1614
c17,product_c,4820,1928
c18,product_c,2330,1165
c19,product_c,2250,1125
c20,product_c,2200,1100
c21,product_c,6390,3195
c22,product_c,2100,1050
c23,product_c,2060,824
c24,product_c,3920,1176
c25,product_c,3820,1528
c26,product_c,5640,1692
c27,product_c,3540,1416
c28,product_c,5250,2100
c29,product_c,5070,1521
c30,product_c,5070,1521
c31,product_c,5070,1521
c32,product_c,5040,2520
c33,product_c,3140,1256
c34,product_c,4410,1764
c35,product_c,1440,576
c36,product_c,1430,429
c37,product_c,2580,774
c38,product_c,2580,1290
c39,product_c,3870,1935
c40,product_c,2360,1180
c41,product_c,2340,936
c42,product_c,1160,348
c43,product_c,1070,535
c44,product_c,2080,624
c45,product_c,2000,1000
c46,product_c,2910,873
c47,product_c,960,480
c48,product_c,1880,940
c49,product_c,2790,837
c50,product_c,2760,1380
c51,product_c,1820,546
c52,product_c,880,352
c53,product_c,870,261
c54,product_c,1640,820
c55,product_c,800,400
c56,product_c,790,316
c57,product_c,2340,702
c58,product_c,1540,770
c59,product_c,2190,657
c60,product_c,2190,1095
c61,product_c,1420,710
c62,product_c,1400,560
c63,product_c,2010,603
c64,product_c,1950,780
c65,product_c,1280,384
c66,product_c,1280,384
c67,product_c,640,320
c68,product_c,1890,756
c69,product_c,1860,558
c70,product_c,1240,496
c71,product_c,620,310
c72,product_c,1830,549
c73,product_c,600,180
c74,product_c,1770,708
c75,product_c,1710,855
c76,product_c,1710,513
c77,product_c,550,275
c78,product_c,1620,810
c79,product_c,1590,636
c80,product_c,530,265
c81,product_c,1020,510
c82,product_c,1000,300
