ID,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33,month_34,month_35,month_36
c1,7529,9476,9709,9100,9405,8179,10351,11533,7962,7395,9231,8470,6438,8375,7796,11598,9077,9360,7501,9229,10096,10053,7750,10618,6435,10744,10814,9318,8547,8655,8602,10596,9630,8698,6651,9433
c2,8794,8135,8995,9203,8806,8422,8654,9134,8722,8336,8848,8743,9022,8658,9362,7928,9011,8419,8389,8799,8581,9133,8500,9033,8435,8904,8923,9549,8779,8262,8743,8641,8747,8578,8982,8624
c3,18973,19150,18142,21968,20609,19597,18449,19237,18901,19598,20650,20564,19555,20816,16567,18658,17489,19370,20154,19343,21554,19842,20362,20428,21267,18272,19653,20248,21358,21504,21101,19659,20314,19783,21785,19369
c4,9074,8939,9025,8948,8806,8972,8959,8983,8964,9006,9226,8816,8834,9066,8987,8883,9102,9045,9004,9019,9170,8924,9014,8982,8995,9107,9145,9052,8965,8934,8943,9100,8771,9177,8994,9073
c5,8052,8324,9276,7369,5545,8866,8441,6858,8259,8923,8143,9118,8033,8138,8183,7965,9732,8361,5926,9070,7371,8621,7427,9723,8134,8447,8663,5717,5858,8488,6020,9345,7688,5985,6797,9018
c6,14438,12678,12468,14055,16169,12460,12820,13478,16891,16041,16419,19449,15510,13165,16853,18259,13571,16811,14483,14014,15482,13864,11516,16361,14386,12468,17643,15333,16346,9931,12589,13759,13659,15283,14283,16083
c7,20648,19320,21183,19192,18803,18529,19484,19868,20070,20261,19126,20286,19246,19089,19916,18957,19557,20286,19306,20472,18735,20802,20159,19098,19542,20467,20972,19792,18776,19583,19235,18616,18600,18621,20213,20850
c8,15334,20386,14018,11149,14379,19548,14422,21962,12883,7915,10818,14435,13344,13886,17362,15230,17693,15893,12870,12416,16318,11340,9260,20940,14379,12591,16197,17711,6359,14323,12399,11550,15085,14288,10461,15240
c9,7956,7842,7710,8429,7238,8196,8530,8063,7939,7689,4568,9259,6972,7689,8500,7615,6477,5426,6056,7405,8784,6625,8041,7052,6000,7036,6652,7226,8019,6644,9039,8024,7715,7119,7786,9725
c10,9939,10756,9957,8275,8569,10542,9520,9824,8124,9258,9910,9838,9696,9468,10205,11287,8137,7917,8680,9837,10149,10395,9165,8813,10953,9520,9284,7687,11039,9947,7343,9396,7520,9068,7608,9422
c11,15605,16704,14612,12221,15244,16507,14452,16190,16620,15946,13723,17060,14193,16867,16322,16096,15602,16439,13915,14918,15796,14328,14114,15868,14025,14763,15885,14810,15947,15874,15060,18373,13723,16980,16806,15928
c12,12759,12243,12214,12801,12262,11846,12072,11998,12225,12309,12348,12038,12513,11785,12818,12502,11949,12235,11198,12495,12471,12283,13464,11796,12248,12660,12798,11694,12440,12321,11549,12843,12287,11923,12444,12071
c13,17450,16637,16654,17445,16813,16472,16847,16549,15795,17218,16346,16620,17478,16736,16227,16144,17103,16787,16723,16859,16086,16477,17164,16480,17231,17735,16604,16419,16875,16778,16369,17102,16746,16948,16490,16567
c14,13057,13866,14653,12924,16190,15234,12989,13785,11668,10607,11489,12157,14947,10996,15380,12360,12987,15184,16673,12485,14537,15395,16312,15699,14052,9531,10941,15384,14747,14260,15095,11967,14979,13077,14653,11938
c15,15895,16424,16343,15940,15901,16046,15788,16942,16077,15482,15780,15503,15353,15783,16438,16065,16118,15425,15971,16330,16141,16293,16748,15953,16839,17318,16024,16347,16616,15183,16745,16095,15542,16682,15579,15309
c16,13059,11234,13072,18425,14549,13174,13708,16903,20798,14308,15084,13270,18609,17315,9629,18027,13218,16414,16218,14429,17537,13162,16857,16187,16749,14362,12638,13649,11962,18570,15269,15364,17733,11892,16763,18478
c17,15625,10570,17988,13396,14560,15635,20709,21678,16756,19480,18695,22463,15706,22500,19317,21270,15685,20582,24161,17733,16795,16417,16986,17323,8737,16170,15238,20052,13705,19144,20159,14192,20180,19225,17194,22554
c18,16118,16574,24727,15634,17066,18940,14980,17567,16932,18487,20315,21612,16628,13491,16074,8791,23586,18139,13968,15888,20065,17130,12363,22993,16189,14289,17169,14728,14533,17882,17626,12244,14746,13481,19340,18980
c19,10112,8531,6785,6767,10999,9272,7321,5310,8256,7801,7071,7371,7106,9619,8985,10139,9887,8777,8758,6652,9372,9721,6743,9317,9880,7784,10674,7762,9519,5864,8990,8779,8140,6861,9011,5893
c20,17428,14959,15162,17141,16420,17291,18000,14936,14232,17796,16796,17331,14839,18962,18743,16389,17361,19706,20816,17420,18159,16978,19616,17749,17649,21557,16397,16189,18828,20451,18476,21097,15922,18429,19090,14928
c21,18239,14889,15293,18214,14932,16451,16786,17393,16192,17621,15210,16148,16182,15615,18577,14039,16476,16969,15640,15716,14762,15410,15823,12087,17214,18865,18446,15012,17234,15544,14270,15079,15178,17687,17506,17280
c22,12496,12890,13083,13713,13343,12393,15181,14334,12926,12949,14624,13437,13160,14269,14711,12234,14682,13741,14205,13884,13416,12804,13712,14514,14122,13413,13899,13898,14175,14286,13087,13245,13381,12925,14876,14655
c23,15244,15172,15308,15598,15693,15882,15427,15920,15630,15656,15258,15711,14970,15590,15534,15666,15429,15808,15713,15670,14941,15397,15759,16005,15604,16040,15711,15798,15479,15022,15560,15587,15489,15258,15214,15437
