ID,city,lat,lon,demand_mean,demand_std
c1,Lubbock,33.5657,-101.8879,8752,2010
c2,Greenville,34.8354,-82.3646,8548,1900
c3,Olympia,47.0417,-122.8959,19363,5785
c4,Colorado Springs,38.8674,-104.7605,8799,5298
c5,Clarksville,36.5692,-87.3413,7788,5028
c6,Worcester,42.2705,-71.8079,14388,5019
c7,Columbia,34.0378,-80.9036,19244,5643
c8,Rockford,42.2596,-89.064,13999,5549
c9,Henderson,36.0133,-115.0381,7407,5520
c10,Savannah,32.0286,-81.1821,9207,5357
c11,Tampa,27.9945,-82.4447,15156,5300
c12,Augusta,33.3645,-82.0708,12038,5134
c13,Kennewick,46.1978,-119.1732,16392,5158
c14,Fresno,36.783,-119.7939,13369,5056
c15,Portland,43.6773,-70.2715,15738,5026
c16,Orlando,28.4773,-81.337,14885,4993
c17,Boise,43.6005,-116.2308,17250,5077
c18,Chicago,41.8375,-87.6866,16450,5091
c19,Laredo,27.5625,-99.4874,8134,5109
c20,Santa Ana,33.7367,-117.8819,17193,5141
c21,Huntsville,34.6981,-86.6412,15934,5122
c22,Concord,35.3933,-80.6369,13357,5038
c23,Washington,38.9047,-77.0163,15190,4985
c24,Waterbury,41.5582,-73.0361,6064,5106
c25,Islip,40.7385,-73.1888,17743,5166
c26,Springfield,42.1155,-72.5395,7810,5184
c27,Virginia Beach,36.7335,-76.0435,15400,5159
c28,Fort Worth,32.7817,-97.3474,6822,5209
c29,Dayton,39.7805,-84.2003,11785,5153
c30,Albany,42.6664,-73.7987,9173,5131
c31,Brookhaven,40.832,-72.9517,15772,5112
c32,Enterprise,36.0091,-115.2278,12710,5053
c33,Charleston,32.8168,-79.9687,14188,5009
c34,Miami,25.784,-80.2101,18115,5080
c35,Shreveport,32.4653,-93.7955,16855,5079
c36,Fayetteville,35.085,-78.9772,7786,5093
c37,Tallahassee,30.4551,-84.2527,18239,5132
c38,Boston,42.3188,-71.0852,10263,5100
c39,Little Rock,34.7256,-92.3577,7252,5124
c40,Arlington,38.8786,-77.1011,10776,5090
c41,Buffalo,42.9018,-78.8487,10287,5057
c42,Palm Bay,27.9631,-80.6593,12752,5020
c43,Birmingham,33.5279,-86.7971,7231,5046
c44,Fremont,37.5265,-121.9843,17053,5069
c45,Stockton,37.9765,-121.3109,9954,5042
c46,Anaheim,33.839,-117.8574,7456,5053
c47,Allentown,40.5961,-75.4756,9765,5030
c48,Irving,32.8583,-96.9702,12240,4995
c49,Arlington,32.6998,-97.125,11599,4976
c50,Richmond,37.5295,-77.4756,19616,5059
c51,Winter Haven,28.0118,-81.7014,9920,5033
c52,Brownsville,25.9975,-97.458,19093,5093
c53,Minneapolis,44.9635,-93.2678,9081,5077
c54,Victorville,34.5277,-117.3536,6109,5110
c55,McAllen,26.2252,-98.2467,8278,5100
c56,College Station,30.5852,-96.2959,11553,5066
c57,Pittsburgh,40.4397,-79.9763,16163,5089
c58,Chandler,33.2825,-111.8514,11956,5056
c59,Lorain,41.4409,-82.184,9659,5033
c60,Gulfport,30.4274,-89.0704,10670,5003
c61,Houston,29.786,-95.3885,8940,4989
c62,Concord,37.9722,-122.0016,18799,5049
c63,Rochester,43.168,-77.6162,8729,5039
c64,Poughkeepsie,41.695,-73.9211,9592,5018
c65,Akron,41.0798,-81.5219,15722,5015
c66,Philadelphia,40.0077,-75.1339,15192,5003
c67,South Bend,41.6767,-86.2696,19658,5073
c68,Columbus,32.51,-84.8771,6482,5094
c69,Mission Viejo,33.6096,-117.6551,15365,5084
c70,Lexington,38.0423,-84.4587,13697,5061
c71,Myrtle Beach,33.7094,-78.8844,18404,5094
c72,St. Petersburg,27.7931,-82.6652,7169,5102
c73,Fort Collins,40.5477,-105.0656,20555,5210
c74,Peoria,40.752,-89.6154,8070,5207
c75,Durham,35.9792,-78.9022,15978,5204
c76,Kalamazoo,42.2749,-85.5882,13858,5194
c77,Syracuse,43.0407,-76.1437,9798,5179
c78,Santa Clarita,34.4175,-118.4964,16115,5174
c79,Milwaukee,43.0642,-87.9675,9672,5160
c80,Los Angeles,34.1141,-118.4068,9943,5142
c81,Youngstown,41.0993,-80.6463,11369,5120
c82,Kissimmee,28.3041,-81.4169,12309,5101
c83,Denver,39.762,-104.8758,17889,5119
c84,Gainesville,29.6804,-82.3459,15090,5106
c85,Denton,33.2175,-97.1418,9209,5096
c86,Jacksonville,30.3322,-81.6749,9217,5084
c87,St. Louis,38.6359,-90.2451,15444,5079
c88,Bremerton,47.5436,-122.7121,8759,5071
c89,Rock Hill,34.9415,-81.0241,8626,5064
c90,Nashua,42.7491,-71.491,7523,5066
c91,Jackson,32.3157,-90.2125,7356,5069
c92,Sioux Falls,43.5396,-96.7311,11268,5053
c93,Brooklyn,40.6501,-73.9496,17641,5072
c94,Bridgeport,41.1918,-73.1954,16410,5074
c95,San Antonio,29.4632,-98.5238,15603,5067
c96,Tulsa,36.1283,-95.9042,10334,5055
c97,Manhattan,40.7834,-73.9662,8681,5052
c98,Mesa,33.4015,-111.7178,7108,5057
c99,Asheville,35.5707,-82.5537,17382,5076
c100,Thousand Oaks,34.1914,-118.8756,19481,5119
